SECONDS,ax,ay,az,qr,qi,qj,qk,gy,gp,gr
41.3349,-1.2695312,-0.1484375,-0.2656250,0.5458984,0.0319214,-0.2581787,0.7964478,-1.1054688,-3.1933594,-0.3945312
41.4349,-0.9179688,1.8750000,0.4648438,0.5047607,0.0917969,-0.3888550,0.7652588,-1.5371094,-2.2324219,0.1777344
41.5349,1.8789062,-0.1718750,0.0937500,0.4262085,0.1602783,-0.5240479,0.7197266,-1.6367188,-3.2753906,0.3437500
41.6349,0.6562500,0.9101562,1.3710938,0.3772583,0.2036743,-0.6391602,0.6384888,-2.6386719,-2.8164062,0.0468750
41.7349,0.1367188,-0.0664062,0.2929688,0.3193359,0.2368164,-0.7269287,0.5599365,-1.6347656,-2.2968750,0.2441406
41.8349,-0.1679688,-0.6718750,-0.0351562,0.3062134,0.2710571,-0.7871094,0.4617920,-1.8925781,-1.3671875,-0.7910156
41.9349,0.4375000,0.4453125,-0.4726562,0.2926636,0.2954102,-0.8132935,0.4069214,-0.7500000,-0.9082031,-0.6171875
42.0349,-0.5507812,0.5703125,-0.2460938,0.2755737,0.3015137,-0.8424072,0.3513184,-0.9433594,-0.6171875,0.0605469
42.1349,-0.0585938,-0.1718750,-1.2851562,0.2702637,0.3067017,-0.8558350,0.3168335,-0.6171875,-0.3808594,-0.1347656
42.2339,0.3203125,0.4101562,-1.3007812,0.2628174,0.3115845,-0.8591919,0.3093262,-0.0625000,-0.3320312,0.0820312
42.3339,-0.2031250,0.6796875,-1.1640625,0.2623291,0.3091431,-0.8563232,0.3199463,0.1523438,0.0527344,-0.0214844
42.4339,0.4140625,1.1835938,-1.7656250,0.2968140,0.2929688,-0.8171387,0.3979492,1.5605469,1.5917969,0.1347656
42.5339,0.2421875,0.4179688,-4.6250000,0.3674927,0.2286987,-0.7219849,0.5397949,2.4023438,3.2578125,0.8886719
42.6339,1.1562500,-0.2734375,-3.3671875,0.4638672,0.1434937,-0.5591431,0.6719971,2.4140625,4.2265625,0.4199219
42.7338,4.7539062,-2.2460938,-4.8515625,0.5256348,0.0289307,-0.3320923,0.7827148,3.1738281,4.9726562,0.8632812
42.8339,4.6132812,-2.4492188,-0.1289062,0.5513306,-0.1221924,-0.0082397,0.8252563,3.8144531,6.8671875,0.2578125
42.9339,1.0195312,-1.1210938,-0.4531250,0.4913330,-0.2552490,0.2320557,0.7997437,1.8730469,5.2539062,1.4042969
43.0339,0.4921875,-0.8437500,1.9335938,0.4393921,-0.3291016,0.4119873,0.7272339,2.1777344,2.9042969,0.4531250
43.1339,-0.1640625,0.1484375,1.8906250,0.3845825,-0.3803101,0.5252075,0.6569214,1.3164062,2.5351562,0.5312500
